Fisher, Eddie	Eddie Fisher	Beautiful Things	1952	Beastie Boys	Get it Together	Ill Communication	1994	other
Sumac, Yma	Voice of the Xtaby	Xtaby (Lure of the Unknown Love)	1952	Puff Daddy	I Love You Baby	No Way Out	1997	other
Rollins, Sonny	Sonny Rollins with the Modern Jazz Quartet	Mambo Bounce	1953	Digable Planets	Time & Space	Reachin' (A New Refutation Of Time And Space)	1993	jazz
Gillespie, Dizzy	. . . And His Latin Rhythm: Afro	Con Alma	1954	Amon Tobin	Fast Eddie	Permutation	1998	jazz
Manne, Shelly	The Three and the Two	Flip	1954	Jurassic 5	Jurass Finish First	Quality Control	2000	jazz
Tjader, Cal	Los Ritmo Caliente	Cubano Chant	1954	De la Soul	Watch Out	AOI: Bionix	2001	jazz
Tjader, Cal	Los Ritmo Caliente	Mood for Milt	1954	De la Soul	Watch Out	AOI: Bionix	2001	jazz
El Dorados	Crazy Little Mama	At My Front Door	1955	De la Soul	Let, Let Me In	De La Soul Is Dead	1991	soul/funk/r&b
Mingus, Charles	The Charles Mingus Quintet + Max Roach	A Foggy Day	1955	Heavy D	Here Comes the Heavster	Blue Funk	1992	jazz
Modern Jazz Quartet	Concorde	All of You	1955	JEHST	Trilogy	The Return Of The Drifter	2002	jazz
Blakey, Art (& the Jazz Messengers)	Drum Suite	D's Dilemma	1956	3rd Bass	Merchant of Grooves	Derelicts Of Dialect	1991	jazz
Little Richard	Here's Little Richard	Tutti Frutti	1956	Eric B & Rakim	Move the Crowd	Paid in Full	1987	rock/pop
Little Richard	Here's Little Richard	Tutti Frutti	1956	Funkdoobiest	Wopbabalubop	Which Doobie U B?	1993	rock/pop
Rollins, Sonny	A Night at the Village Vanguard, Vol. 2	Softly, As in a Morning Sunrise	1957	Amon Tobin	Stoney Street	Bricolage	1997	jazz
Adderley, Cannonball (Quintet)	Portrait of Cannonball	Blue Funk	1958	Tragedy	Death Row	Intelligent Hoodlum	1993	jazz
Davis, Miles	Porgy & Bess	Bess You is My Woman Now	1958	Busta Rhymes	Everything Remains Raw	The Best of Busta Rhymes	2001	jazz
Tjader, Cal	Cal Tjader's Latin Concert	Mood for Milt	1958	De la Soul	Watch Out	AOI: Bionix	2001	jazz
Berry, Chuck	Cal Tjader's Latin Concert	Johnny B. Goode	1958	LL Cool J	Go Cut Creator Go	Bigger And Deffer	1987	rock/pop
Schafer, Kermit	Pardon by Blooper! Volume 4	Part 4	1958	Blackalicious	Passion	Blazing Arrow	2002	other
Barber, Chris	single	Petite Fleur	1959	Firm	Phone Tap	The Album	1997	jazz
Coleman, Ornette	The Shape of Jazz to Come	Lonely Woman	1959	Aceyalone	Human Language	A Book Of Human Language	1998	jazz
Hi-Lo's	And All That Jazz	Some Minor Changes	1959	Jurassic 5	The Influence	Quality Control	2000	jazz
Mingus, Charles	Ah Um	Fables of Faubus	1959	T-Love	What's My Name	Return Of The B-Girl EP	1998	jazz
Modern Jazz Quartet	Pyramid	Django	1959	Fugees	Ready or Not	The Score	1996	jazz
Barry, John (Seven)	Beat Girl	Beat Girl	1959	Fatboy Slim	Rockafella Skank	Millenium Hits	2000	other
Light, Enoch	Provocative Percussion	Perhaps, Perhaps, Perhaps	1959	Arrested Development	Man's Final Frontier	3 Years, 5 Months &#038; 2 Days In The Life Of...	1992	other
